DestIP,Source,ioc
172.22.2.7,Twitter-[drb_ra],[#CobaltStrike #C2]
123.56.87.43,Twitter-[drb_ra],[#CobaltStrike #C2]
85.175.101.203,Twitter-[drb_ra],[#CobaltStrike #C2]
16.162.4.4,Twitter-[drb_ra],"[#C2 #Supershell,#C2 #Reverse_SSH]"
119.45.1.34,Twitter-[drb_ra],[#C2 #Supershell]
71.85.182.105,Twitter-[drb_ra],[#Qakbot #C2]
86.98.219.194,Twitter-[drb_ra],[#Qakbot #C2]
63.32.110.64,Twitter-[drb_ra],[#C2]
207.180.213.79,Twitter-[drb_ra],[#Havoc #C2]
35.244.127.70,Twitter-[drb_ra],[#Havoc #C2]
18.252.251.213,Twitter-[drb_ra],[#C2 #Deimos]
18.252.216.17,Twitter-[drb_ra],[#C2 #Deimos]
56.228.12.2,Twitter-[drb_ra],[#C2 #Mythic]
54.168.191.225,Twitter-[drb_ra],[#C2 #Brute_Ratel_C4]
91.236.116.139,Twitter-[drb_ra],[#C2]
206.162.22.75,Twitter-[drb_ra],[#C2 #Hak5_Cloud_C2]
206.123.145.241,Twitter-[drb_ra],[#C2 #Remcos]
95.217.190.166,Twitter-[drb_ra],[#C2 #Remcos]
172.245.253.10,Twitter-[drb_ra],[#C2 #Reverse_SSH]
16.62.240.47,Twitter-[drb_ra],[#NetSupportRAT #C2]
51.112.47.23,Twitter-[drb_ra],[#NetSupportRAT #C2]
93.198.188.234,Twitter-[drb_ra],[#NetSupportRAT #C2]
18.175.149.170,Twitter-[drb_ra],[#NetSupportRAT #C2]
54.78.57.178,Twitter-[drb_ra],[#NetSupportRAT #C2]
43.208.192.188,Twitter-[drb_ra],[#NetSupportRAT #C2]
35.156.214.186,Twitter-[drb_ra],[#NetSupportRAT #C2]
34.222.124.155,Twitter-[drb_ra],[#NetSupportRAT #C2]
172.111.248.130,Twitter-[drb_ra],[#AsyncRAT #C2]
207.231.111.84,Twitter-[drb_ra],[#AsyncRAT #C2]
157.254.165.199,Twitter-[drb_ra],[#AsyncRAT #C2]
45.32.92.170,Twitter-[drb_ra],[#Interactsh #C2]
124.221.116.169,Twitter-[drb_ra],[#CobaltStrike #C2]
139.155.104.147,Twitter-[drb_ra],"[#CobaltStrike #C2,#C2 #CobaltStrike]"
47.245.61.75,Twitter-[drb_ra],"[#CobaltStrike #C2,#C2 #CobaltStrike]"
